Campaign,Campaign Daily Budget,Campaign Type,Bid Strategy Type,Networks,EU political ads,Desktop Bid adj.,Mobile Bid adj.,Tablet Bid adj.,Start Date,End Date,Ad Group,Max CPC,Keyword,Criterion Type,Ad Type,Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2,PhoneNumber,VerificationURL,Dynamic Search Ad Description 1,Dynamic Search Ad Description 2,Sitelink Text,Sitelink Description 1,Sitelink Description 2,Sitelink Final URL,Callout Text,Structured Snippet Header,Structured Snippet Values,Price Extension Type,Price Extension Price Qualifier,Price Extension Item Header,Price Extension Item Price,Price Extension Item Final URL,Promotion Target,Promotion Discount Modifier,Promotion Percent Off,App ID,App Store,App Link Text,App Final URL,Image Asset Name,Image Asset URL,Location
Search-20251209-1403,100,Search,Maximize Conversions,Google search,No,-100%,0%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 2,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 3,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 4,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 5,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 6,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 7,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 8,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,google ads near me,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,top google ads services,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,emergency google ads,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,google ads price near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,google ads expert near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,find google ads services,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,google ads price near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,google ads open today,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,google ads contractor near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,google ads specialist near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251209-1403,,,,,,,,,,,Ad Group 1,,where to get google ads,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
